"","State","Year","month","checks"
"170","Montana",2020,"Feb",10448
"171","Montana",2020,"Mar",16885
"172","Montana",2020,"Apr",14690
"173","Montana",2020,"May",14809
"174","Montana",2020,"Jun",16018
"175","Nebraska",2020,"Jan",7021
"176","Nebraska",2020,"Feb",6616
"177","Nebraska",2020,"Mar",11154
"178","Nebraska",2020,"Apr",7517
"179","Nebraska",2020,"May",5502
"180","Nebraska",2020,"Jun",9080
"181","Nevada",2020,"Jan",11074
"182","Nevada",2020,"Feb",13069
"183","Nevada",2020,"Mar",22236
"184","Nevada",2020,"Apr",18621
"185","Nevada",2020,"May",17987
"186","Nevada",2020,"Jun",24146
"187","New Hampshire",2020,"Jan",10856
"188","New Hampshire",2020,"Feb",10549
"189","New Hampshire",2020,"Mar",22466
"190","New Hampshire",2020,"Apr",14935
"191","New Hampshire",2020,"May",12817
"192","New Hampshire",2020,"Jun",16371
"193","New Jersey",2020,"Jan",8313
"194","New Jersey",2020,"Feb",8548
"195","New Jersey",2020,"Mar",10922
"196","New Jersey",2020,"Apr",9072
"197","New Jersey",2020,"May",9681
"198","New Jersey",2020,"Jun",13578
"199","New Mexico",2020,"Jan",13095
"200","New Mexico",2020,"Feb",15076
"201","New Mexico",2020,"Mar",24571
"202","New Mexico",2020,"Apr",13216
"203","New Mexico",2020,"May",17442
"204","New Mexico",2020,"Jun",20850
"205","New York",2020,"Jan",32390
"206","New York",2020,"Feb",31863
"207","New York",2020,"Mar",59787
"208","New York",2020,"Apr",27035
"209","New York",2020,"May",26764
"210","New York",2020,"Jun",52252
"211","North Carolina",2020,"Jan",53819
"212","North Carolina",2020,"Feb",52252
"213","North Carolina",2020,"Mar",83077
"214","North Carolina",2020,"Apr",67465
"215","North Carolina",2020,"May",61155
"216","North Carolina",2020,"Jun",90593
"217","North Dakota",2020,"Jan",4866
"218","North Dakota",2020,"Feb",5498
"219","North Dakota",2020,"Mar",9136
"220","North Dakota",2020,"Apr",6803
"221","North Dakota",2020,"May",6179
"222","North Dakota",2020,"Jun",7747
"223","Ohio",2020,"Jan",55784
"224","Ohio",2020,"Feb",63156
"225","Ohio",2020,"Mar",114086
"226","Ohio",2020,"Apr",68812
"227","Ohio",2020,"May",69739
"228","Ohio",2020,"Jun",97568
"229","Oklahoma",2020,"Jan",31908
"230","Oklahoma",2020,"Feb",34408
"231","Oklahoma",2020,"Mar",50194
"232","Oklahoma",2020,"Apr",42054
"233","Oklahoma",2020,"May",36214
"234","Oklahoma",2020,"Jun",44095
"235","Oregon",2020,"Jan",31752
"236","Oregon",2020,"Feb",33430
"237","Oregon",2020,"Mar",59115
"238","Oregon",2020,"Apr",44816
"239","Oregon",2020,"May",41224
"240","Oregon",2020,"Jun",47918
"241","Pennsylvania",2020,"Jan",88224
"242","Pennsylvania",2020,"Feb",93240
"243","Pennsylvania",2020,"Mar",125013
"244","Pennsylvania",2020,"Apr",76134
"245","Pennsylvania",2020,"May",87752
"246","Pennsylvania",2020,"Jun",151738
"247","Puerto Rico",2020,"Jan",1911
"248","Puerto Rico",2020,"Feb",1819
"249","Puerto Rico",2020,"Mar",862
"250","Puerto Rico",2020,"Apr",97
"251","Puerto Rico",2020,"May",1524
"252","Puerto Rico",2020,"Jun",3533
"253","Rhode Island",2020,"Jan",2701
"254","Rhode Island",2020,"Feb",2597
"255","Rhode Island",2020,"Mar",6169
"256","Rhode Island",2020,"Apr",3988
"257","Rhode Island",2020,"May",3232
"258","Rhode Island",2020,"Jun",5332
"259","South Carolina",2020,"Jan",30365
"260","South Carolina",2020,"Feb",36085
"261","South Carolina",2020,"Mar",50953
"262","South Carolina",2020,"Apr",39327
"263","South Carolina",2020,"May",42137
"264","South Carolina",2020,"Jun",55636
"265","South Dakota",2020,"Jan",7002
"266","South Dakota",2020,"Feb",7962
"267","South Dakota",2020,"Mar",11332
"268","South Dakota",2020,"Apr",8487
"269","South Dakota",2020,"May",7379
"270","South Dakota",2020,"Jun",9844
"271","Tennessee",2020,"Jan",53382
"272","Tennessee",2020,"Feb",57867
"273","Tennessee",2020,"Mar",88458
"274","Tennessee",2020,"Apr",77829
"275","Tennessee",2020,"May",95314
"276","Tennessee",2020,"Jun",103807
"277","Texas",2020,"Jan",129176
"278","Texas",2020,"Feb",142928
"279","Texas",2020,"Mar",274211
"280","Texas",2020,"Apr",197343
"281","Texas",2020,"May",179192
"282","Texas",2020,"Jun",227232
"283","Utah",2020,"Jan",80856
"284","Utah",2020,"Feb",83113
"285","Utah",2020,"Mar",101382
"286","Utah",2020,"Apr",96612
"287","Utah",2020,"May",89255
"288","Utah",2020,"Jun",96050
"289","Vermont",2020,"Jan",3052
"290","Vermont",2020,"Feb",3642
"291","Vermont",2020,"Mar",7023
"292","Vermont",2020,"Apr",5618
"293","Vermont",2020,"May",4973
"294","Vermont",2020,"Jun",4920
